,Unnamed: 0,Unnamed: 0.1,domination_number,total_domination_number,connected_domination_number,independence_number,zero_forcing_number,diameter,radius,order,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,min_degree,max_degree,clique_number,residue,annihilation_number,vertex_cover_number,girth,density,estrada_index,transitivity,global_efficiency,local_efficiency,wiener_index,algebraic_connectivity,k-slater-index,k_residual_index,randic_index,augmented_randic_index,harmonic_index,atom_bond_connectivity_index,sum_connectivity_index,first_zagreb_index,second_zagreb_index,slater,sub_total_domination_number,CW_disparity,closed_CW_disparity,inverse_disparity,closed_inverse_disparity,average_vertex_disparity,average_closed_vertex_disparity,irregularity,2-residue,number_of_degree_one_nodes,average_degree,number_of_min_degree_nodes,number_of_max_degree_nodes,is_bipartite,is_eulerian,is_planar,is_regular,is_cubic,is_not_K_n,is_triangle_free,is_claw_free,is_tree,is_at_free,has_bridges,is_chordal,is_2_edge_connected,is_distance_regular,is_strongly_regular,is_semieulerian,is_bull_free,is_complete_graph,is_sub_cubic,name,paired_domination_number,power_domination_number,2-power_domination_number,2-domination_number,2-forcing_number,total_forcing_number,networkx_graph
84,84.0,MathematicaGraph7392.txt,1,2,1,7,6,2,1,8,1,2,1,1,6,1,7,2,7,7,1,1000000,0.25,20.164982133734654,0.0,0.625,0.0,49.0,1.0000000000000004,1,1,2.6457513110645903,1.0,1.75,6.48074069840786,2.474873734152916,56.0,49.0,1,2,4.0,2.6666666666666665,8.0,4.0,1.0,2.0,2.0,7.0,7,1.75,7,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-84,2,1,1,7,5,7,
85,85.0,MathematicaGraph7393.txt,1,2,1,8,7,2,1,9,1,2,1,1,6,1,8,2,8,8,1,1000000,0.2222222222222222,23.97793442511987,0.0,0.6111111111111112,0.0,64.0,1.0000000000000002,1,1,2.82842712474619,1.0,1.7777777777777777,7.483314773547883,2.6666666666666665,72.0,64.0,1,2,4.5,3.0,9.0,4.5,1.0,2.0,2.0,8.0,8,1.7777777777777777,8,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-85,2,1,1,8,6,8,
86,86.0,MathematicaGraph7394.txt,1,2,1,9,8,2,1,10,1,2,1,1,6,1,9,2,9,9,1,1000000,0.2,28.13532399155551,0.0,0.6,0.0,81.0,1.0,1,1,3.0,1.0,1.8,8.48528137423857,2.846049894151541,90.0,81.0,1,2,5.0,3.333333333333333,10.0,5.0,1.0,2.0,2.0,9.0,9,1.8,9,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-86,2,1,1,9,7,9,
87,87.0,MathematicaGraph7395.txt,1,2,1,10,9,2,1,11,1,2,1,1,6,1,10,2,10,10,1,1000000,0.1818181818181818,32.666672141640994,0.0,0.5909090909090909,0.0,100.0,1.0000000000000002,1,1,3.1622776601683795,1.0,1.8181818181818183,9.486832980505138,3.0151134457776365,110.0,100.0,1,2,5.5,3.666666666666667,11.0,5.5,1.0,2.0,2.0,10.0,10,1.818181818181818,10,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-87,2,1,1,10,8,10,
88,88.0,MathematicaGraph7396.txt,1,2,1,11,10,2,1,12,1,2,1,1,6,1,11,2,11,11,1,1000000,0.1666666666666666,37.6034235146405,0.0,0.5833333333333334,0.0,121.0,1.0000000000000002,1,1,3.3166247903554,1.0,1.8333333333333333,10.488088481701515,3.175426480542942,132.0,121.0,1,2,6.0,4.0,12.0,6.0,1.0,2.0,2.0,11.0,11,1.8333333333333333,11,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-88,2,1,1,11,9,11,
89,89.0,MathematicaGraph7397.txt,1,2,1,12,11,2,1,13,1,2,1,1,6,1,12,2,12,12,1,1000000,0.1538461538461538,42.97904661912986,0.0,0.5769230769230769,0.0,144.0,1.0,1,1,3.464101615137756,1.0,1.8461538461538465,11.489125293076055,3.328201177351375,156.0,144.0,1,2,6.5,4.333333333333333,13.0,6.5,1.0,2.0,2.0,12.0,12,1.8461538461538465,12,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-89,2,1,1,12,10,12,
90,90.0,MathematicaGraph7398.txt,1,2,1,13,12,2,1,14,1,2,1,1,6,1,13,2,13,13,1,1000000,0.1428571428571428,48.82913874834047,0.0,0.5714285714285714,0.0,169.0,1.000000000000001,1,1,3.6055512754639896,1.0,1.857142857142857,12.489995996796797,3.474396144861517,182.0,169.0,1,2,7.0,4.666666666666666,14.0,7.0,1.0,2.0,2.0,13.0,13,1.8571428571428568,13,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-90,2,1,1,13,11,13,
91,91.0,MathematicaGraph7547.txt,2,3,3,4,2,4,2,6,2,2,2,2,10,1,3,2,3,4,2,1000000,0.3333333333333333,12.397923494716457,0.0,0.6,0.0,32.0,0.324869129433356,1,2,2.770055610029662,2.0,2.5666666666666664,3.754313505415095,2.524563864689584,20.0,18.0,2,3,2.5,1.9166666666666663,4.5,2.833333333333333,1.5,2.1666666666666665,2.2857142857142856,4.0,3,1.6666666666666667,3,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True,graph-91,4,1,1,4,1,3,
92,92.0,MathematicaGraph7548.txt,2,2,2,5,4,3,2,7,2,2,2,1,8,1,5,2,5,5,2,1000000,0.2857142857142857,15.772892808868828,0.0,0.6111111111111109,0.0,40.0,0.4659298032772713,1,1,2.812188929203217,1.5,2.2857142857142856,4.991922326372759,2.5883079040543056,34.0,32.0,2,2,3.1666666666666665,2.1666666666666665,6.0,3.1666666666666665,1.2857142857142858,2.2857142857142856,2.4642857142857144,5.5,5,1.7142857142857142,5,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-92,2,1,1,6,3,5,
93,93.0,MathematicaGraph7549.txt,3,3,3,4,2,4,2,7,3,2,3,2,10,1,3,2,4,5,3,1000000,0.2857142857142857,14.899966664463378,0.0,0.5714285714285714,0.0,46.0,0.3217196499578096,2,1,3.1807392125526213,2.1666666666666665,2.9,4.53036997182294,2.9328121551534467,26.0,26.0,2,3,2.9166666666666665,2.1666666666666665,5.333333333333333,3.1666666666666665,1.5714285714285714,2.2857142857142856,2.4642857142857144,4.5,4,1.7142857142857142,4,2,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,True,graph-93,4,2,1,5,1,4,
94,94.0,MathematicaGraph7550.txt,2,2,2,5,3,3,2,7,3,2,2,1,8,1,4,2,5,5,2,1000000,0.2857142857142857,15.326357664785316,0.0,0.5952380952380951,0.0,42.0,0.3983208681168469,1,1,2.9433756729740645,1.6666666666666663,2.4857142857142858,4.87656659757667,2.719605259509101,30.0,30.0,2,2,3.1666666666666665,2.1666666666666665,6.0,3.1666666666666665,1.2857142857142858,2.2857142857142856,2.4642857142857144,5.0,5,1.7142857142857142,5,1,True,False,True,False,False,True,True,False,True,True,True,True,False,False,False,False,True,False,False,graph-94,2,2,1,5,2,5,
